SteamID,Name,Price
0,Sludge Life,28.99
0,Borderlands: The Handsome Collection,103.74
289070,Sid Meier's Civilization VI,129.0
271590,Grand Theft Auto V,69.99
0,Death Coming,13.99
391730,Crashlands,28.99
57300,Amnesia: The Dark Descent,36.99
527230,For The King,37.99
508740,Wheels of Aurelia,20.69
0,Just Cause 4,179.90
0,Sherlock Holmes Crimes and Punishments,59.99
968870,Close to the Sun,37.99
232430,Gone Home,27.99
404680,Hob,36.99
0,Totally Reliable Delivery Service,28.99
442070,Drawful 2,19.99
0,Tormentor X Punisher,15.99
493540,Figment,36.99
0,World War Z,85.99
221910,The Stanley Parable,24.99
0,Watch Dogs Standard Edition,89.99
1080750,Mutazione,28.49
1055540,A Short Hike,16.59
0,Anodyne 2: Return To Dust,37.99
347000,InnerSpace,36.99
397060,Faeria,47.49
0,Assassins Creed Syndicate Standard Edition,89.99
244750,Aztez,36.99
379430,Kingdom Come: Deliverance,57.99
108200,Ticket to Ride,19.99
0,Carcassonne,20.69
787860,Farming Simulator 19,69.9
204240,The Bridge,19.99
629090,Horace,28.99
0,Sundered Eldritch Edition,37.99
460920,Steep,89.99
388410,Darksiders II Deathinitive Edition,55.99
462780,Darksiders Warmastered Edition,34.99
846870,Yooka-Laylee and the Impossible Lair,28.41
521890,Hello Neighbor,57.99
257510,The Talos Principle,69.99
418240,Shadow Tactics: Blades of the Shogun,79.99
0,Faster Than Light,16.99
508440,Totally Accurate Battle Simulator,28.99
0,Ape Out,27.99
221260,Little Inferno,28.99
322500,SUPERHOT,39.99
0,Towerfall Ascension,27.99
0,Into The Breach,28.99
298630,The Escapists,9.24
250320,The Wolf Among Us,28.99
0,Jotun Valhalla Edition,28.99
242550,Rayman Legends,89.99
0,Bad North Jotunn Edition,28.99
464060,RUINER,36.99
242680,Nuclear Throne,24.89
282140,SOMA,55.99
115100,Costume Quest,19.99
391720,Layers of Fear,36.99
359100,Q.U.B.E. 2,47.49
202750,Alan Wake's American Nightmare,18.59
0,>observer_,55.99
464920,Surviving Mars,57.99
609490,Minit,19.99
0,Metro: 2033 Redux,37.99
582270,Everything,27.99
0,Lego Batman Trilogy,123.97
0,Batman Arkham - Trilogy,123.97
313780,Conarium,36.99
0,ABZU,36.99
0,The End is Nigh,27.99
0,Inside,36.99
504230,Celeste,36.99
0,Fez,16.99
0,Mutant Year Zero,89.49
257850,Hyper Light Drifter,36.99
290510,GNOG,20.69
108710,Alan Wake,28.99
0,For Honor Standard Edition,49.99
282070,This War of Mine,36.99
606150,Moonlighter,12.91
0,Limbo,16.99
41500,Torchlight,24.99
448510,Overcooked,38.99
635320,Last Day of June,36.99
0,Journey,28.99
290300,Rebel Galaxy,36.99
311690,Enter the Gungeon,27.99
0,Kingdom New Lands,27.99
0,City of Brass,37.99
493200,RiME,55.99
558420,Stories Untold,19.99
22000,World of Goo,28.99
237930,Transistor,37.99
210970,The Witness,72.99
0,Oxenfree General Audience,20.69
433340,Slime Rancher,36.99
569860,Thimbleweed Park,36.99
332200,Axiom Verge,36.99
0,Jackbox Party Pack,45.99
501300,What Remains of Edith Finch,36.99
40800,Super Meat Boy,24.99
264710,Subnautica,47.49